2025-08-22 14:24:38.034 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: construction_nuclear
2025-08-22 14:24:38.034 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: construction_nuclear
2025-08-22 14:24:38.035 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: services_coal
2025-08-22 14:24:38.035 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: services_coal
2025-08-22 14:24:38.035 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: services_oil
2025-08-22 14:24:38.035 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: services_oil
2025-08-22 14:24:38.036 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: services_gas
2025-08-22 14:24:38.036 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: services_gas
2025-08-22 14:24:38.037 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: services_electricity
2025-08-22 14:24:38.037 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: services_electricity
2025-08-22 14:24:38.038 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: services_renewable
2025-08-22 14:24:38.038 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: services_renewable
2025-08-22 14:24:38.039 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: services_nuclear
2025-08-22 14:24:38.039 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: services_nuclear
2025-08-22 14:24:38.039 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: mining_coal
2025-08-22 14:24:38.039 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: mining_coal
2025-08-22 14:24:38.040 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: mining_oil
2025-08-22 14:24:38.040 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: mining_oil
2025-08-22 14:24:38.041 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: mining_gas
2025-08-22 14:24:38.041 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: mining_gas
2025-08-22 14:24:38.042 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: mining_electricity
2025-08-22 14:24:38.042 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: mining_electricity
2025-08-22 14:24:38.043 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: mining_renewable
2025-08-22 14:24:38.043 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: mining_renewable
2025-08-22 14:24:38.044 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: mining_nuclear
2025-08-22 14:24:38.044 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: mining_nuclear
2025-08-22 14:24:38.045 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: chemical_coal
2025-08-22 14:24:38.045 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: chemical_coal
2025-08-22 14:24:38.045 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: chemical_oil
2025-08-22 14:24:38.045 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: chemical_oil
2025-08-22 14:24:38.046 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: chemical_gas
2025-08-22 14:24:38.046 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: chemical_gas
2025-08-22 14:24:38.047 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: chemical_electricity
2025-08-22 14:24:38.047 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: chemical_electricity
2025-08-22 14:24:38.048 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: chemical_renewable
2025-08-22 14:24:38.048 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: chemical_renewable
2025-08-22 14:24:38.049 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: chemical_nuclear
2025-08-22 14:24:38.049 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: chemical_nuclear
2025-08-22 14:24:38.049 | INFO     | services.ai_predictor:initialize_models:79 - AI预测模型初始化完成
2025-08-22 14:24:38.049 | INFO     | services.ai_predictor:initialize_models:79 - AI预测模型初始化完成
2025-08-22 14:24:38.049 | INFO     | services.anomaly_detector:initialize_models:56 - 开始初始化异常检测模型...
2025-08-22 14:24:38.049 | INFO     | services.anomaly_detector:initialize_models:56 - 开始初始化异常检测模型...
2025-08-22 14:24:38.050 | INFO     | services.anomaly_detector:initialize_models:90 - 创建新异常检测模型: manufacturing
2025-08-22 14:24:38.050 | INFO     | services.anomaly_detector:initialize_models:90 - 创建新异常检测模型: manufacturing
2025-08-22 14:24:38.050 | INFO     | services.anomaly_detector:initialize_models:90 - 创建新异常检测模型: energy
2025-08-22 14:24:38.050 | INFO     | services.anomaly_detector:initialize_models:90 - 创建新异常检测模型: energy
2025-08-22 14:24:38.051 | INFO     | services.anomaly_detector:initialize_models:90 - 创建新异常检测模型: transportation
2025-08-22 14:24:38.051 | INFO     | services.anomaly_detector:initialize_models:90 - 创建新异常检测模型: transportation
2025-08-22 14:24:38.051 | INFO     | services.anomaly_detector:initialize_models:90 - 创建新异常检测模型: agriculture
2025-08-22 14:24:38.051 | INFO     | services.anomaly_detector:initialize_models:90 - 创建新异常检测模型: agriculture
2025-08-22 14:24:38.052 | INFO     | services.anomaly_detector:initialize_models:90 - 创建新异常检测模型: construction
2025-08-22 14:24:38.052 | INFO     | services.anomaly_detector:initialize_models:90 - 创建新异常检测模型: construction
2025-08-22 14:24:38.053 | INFO     | services.anomaly_detector:initialize_models:90 - 创建新异常检测模型: services
2025-08-22 14:24:38.053 | INFO     | services.anomaly_detector:initialize_models:90 - 创建新异常检测模型: services
2025-08-22 14:24:38.053 | INFO     | services.anomaly_detector:initialize_models:90 - 创建新异常检测模型: mining
2025-08-22 14:24:38.053 | INFO     | services.anomaly_detector:initialize_models:90 - 创建新异常检测模型: mining
2025-08-22 14:24:38.054 | INFO     | services.anomaly_detector:initialize_models:90 - 创建新异常检测模型: chemical
2025-08-22 14:24:38.054 | INFO     | services.anomaly_detector:initialize_models:90 - 创建新异常检测模型: chemical
2025-08-22 14:24:38.054 | INFO     | services.anomaly_detector:initialize_models:93 - 异常检测模型初始化完成
2025-08-22 14:24:38.054 | INFO     | services.anomaly_detector:initialize_models:93 - 异常检测模型初始化完成
